,,,,,,,language,,
H7755,1111,Sôwkôh,NAME,שוכה,Sokoh,Sôwkôh,Hebrew,שוכה,
H7795,1480,sôwrâh,shin-resh,שר,ring,sôwrâh,Hebrew,שורה,
H7796,1111,Sôwrêq,NAME,שורק,Sorek,Sôwrêq,Hebrew,שורק,
H5826,2535,ʻâzar,ayin-zayin-resh,עזר,help,sozo(4982),Greek,עזר,
H7919,2477,sâkal,samehh-kaph-lamed,סכל,stir,stir,Pedi,שכל, 
H5478,1330,çûwchâh,samehh-hhet,סח,garbage,suka,Zulu,סוחה, 
H5478,1330,çûwchâh,samehh-hhet,סח,refuse,suka,Zulu,סוחה, 
H7905,1333,sukkâh,samehh-kaph,סכ,dart,sukkâh,Hebrew,שכה,
H7837,2829,shachar,shin-hhet-resh,שחר,day,suku,Bukusu,שחר, 
H7925,2837,shâkam,shin-kaph-mem,שכמ,push up,sukuma,Southern Sotho,שכם, 
H7925,2837,shâkam,shin-kaph-mem,שכמ,rise,sukuma,Southern Sotho,שכם, 
H7925,2837,shâkam,shin-kaph-mem,שכמ,stand up,sukuma,Zulu,שכם, 
H7651,2808,shebaʻ,shin-beyt-ayin,שבע,call attention to something,sumba,Venda,שבע, 
H7651,2808,shebaʻ,shin-beyt-ayin,שבע,example,sumba,Venda,שבע, 
H7651,2808,shebaʻ,shin-beyt-ayin,שבע,show,sumbedza,Venda,שבע, 
H7323,1455,rûwts,resh-tsade,רצ,run,sure,Yoruba,רוץ, 
H5496,1344,çûwth,samehh-tav,סת,move,suta,Southern Sotho,סות, 
H7666,2811,shâbar,shin-beyt-resh,שבר,buy,suuma,Yao,שבר, 
H7725,1462,shûwb,shin-beyt,שב,sorry,suva,Shona,שוב, 
H7735,1325,sûwg,samehh-gimel,סג,hedge,sûwg,Hebrew,שוג,
H7734,1325,sûwg,samehh-gimel,סג,retreat,sûwg,Hebrew,שוג,
H7756,1111,Sûwkâthîy,NAME,שוכתי,Sukathite,Sûwkâthîy,Hebrew,שוכתי,
H7787,1342,sûwr,samehh-resh,סר,saw,sûwr,Hebrew,שור,
H7786,1342,sûwr,samehh-resh,סר,vanquish,sûwr,Hebrew,שור,
H7797,1337,sûws,samehh-samehh,סס,be bright,sûws,Hebrew,שוש,
H7797,1337,sûws,samehh-samehh,סס,joy,sûws,Hebrew,שוש,
H7797,1337,sûws,samehh-samehh,סס,mirth,sûws,Hebrew,שוש,
H7797,1337,sûws,samehh-samehh,סס,rejoice,sûws,Hebrew,שוש,
H4884,1342,mᵉsûwrâh,samehh-resh,סר,large,swa,Koyo,משורה, 
H7729,1462,shûwbâh,shin-beyt,שב,repentance,swaba,Pedi,שובה, 
H7725,1462,shûwb,shin-beyt,שב,bring back,swaba,Southern Sotho,שוב, 
H7725,1462,shûwb,shin-beyt,שב,repent,swaba,Southern Sotho,שוב, 
H7725,1462,shûwb,shin-beyt,שב,sorry,swaba,Southern Sotho,שוב, 
H7725,1462,shûwb,shin-beyt,שב,sorry,swaba,Southern Sotho,שוב, 
H5468,2468,çeder,samehh-dalet-resh,סדר,adjust,swedera,Shona,סדר, 
H5468,2468,çeder,samehh-dalet-resh,סדר,arrange,swedera,Shona,סדר, 
H5500,1330,çâchâh,samehh-hhet,סח,sweep,swiela,Venda,סחה, 
H5500,1330,çâchâh,samehh-hhet,סח,sweep,swiela,Pedi,סחה, 
H4959,1297,mâshash,mem-shin,מש,darkness,swiswi,Venda,משש, 
H8372,1484,tâʼ,tav-aleph,תא,room,tâʼ,Hebrew,תא,
H8591,1499,tâʻaʻ,tav-ayin,תע,cheat,tâʻaʻ,Hebrew,תעע,
H8591,1499,tâʻaʻ,tav-ayin,תע,deceiver,tâʻaʻ,Hebrew,תעע,
H8591,1499,tâʻaʻ,tav-ayin,תע,misuse,tâʻaʻ,Hebrew,תעע,
H8581,2897,taʻâb,tav-ayin-beyt,תעב,abhor,taʻâb,Hebrew,תעב,
H8581,2897,taʻâb,tav-ayin-beyt,תעב,abominable,taʻâb,Hebrew,תעב,
H8373,1485,tâʼab,tav-beyt,תב,desire,tâʼab,Hebrew,תאב,
H8375,1485,taʼăbâh,tav-beyt,תב,desire,taʼăbâh,Hebrew,תאבה,
H8582,1499,tâʻâh,tav-ayin,תע,astray,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,err ,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,wander,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,seduce,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,stagger,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,away,tâʻâh,Hebrew,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,seduce,tâʻâh,Hebrew,תעה, 
H2937,1200,ṭâʻâh,tet-ayin,טע,seduce,ṭâʻâh,Hebrew,טעה,
H2937,1200,ṭâʻâh,tet-ayin,טע,wander,ṭâʻâh,Hebrew,טעה,
H8381,1012,taʼălâh,aleph-lamed,אל,curse,taʼălâh,Hebrew,תאלה,
H8381,1012,taʼălâh,aleph-lamed,אל,imprecation,taʼălâh,Hebrew,תאלה,
H8587,2544,taʻălummâh,ayin-lamed-mem,עלמ,secret,taʻălummâh,Hebrew,תעלמה,
H8586,1357,taʻălûwl,ayin-lamed,על,caprice,taʻălûwl,Hebrew,תעלול,
H8382,1496,tâʼam,tav-mem,תמ,be,tâʼam,Hebrew,תאם,
H2941,2236,ṭaʻam,tet-ayin-mem,טעמ,taste,ṭaʻam,Hebrew,טעם,
H2940,2236,ṭaʻam,tet-ayin-mem,טעמ,taste,ṭaʻam,Hebrew,טעם,
H2938,2479,ṭâʻam,samehh-kaph-resh,סכר,taste,ṭâʻam,Hebrew,טעם,
H2944,2237,ṭâʻan,tet-ayin-nun,טענ,load,ṭâʻan,Hebrew,טען,
H2944,2237,ṭâʻan,tet-ayin-nun,טענ,stab,ṭâʻan,Hebrew,טען,
H2944,2237,ṭâʻan,tet-ayin-nun,טענ,thrust,ṭâʻan,Hebrew,טען,
H2943,2237,ṭâʻan,tet-ayin-nun,טענ,load,ṭâʻan,Hebrew,טען,
H8385,1014,taʼănâh,aleph-nun,אנ,opportunity,taʼănâh,Hebrew,תאנה,
H8590,1111,Taʻănâk,NAME,תענך,Taanak,Taʻănâk,Hebrew,תענך,
H8387,1111,Taʼănath Shilôh,NAME,תאנת שלה,Taanath-Shiloh,Taʼănath Shilôh,Hebrew,תאנת שלה,
H8386,1309,taʼănîyâh,nun-yud,ני,lamentation,taʼănîyâh,Hebrew,תאניה,
H8589,1359,taʻănîyth,ayin-nun,ענ,affliction,taʻănîyth,Hebrew,תענית,
H8588,2556,taʻănûwg,ayin-nun-gimel,ענג,luxury,taʻănûwg,Hebrew,תענוג,
H8593,1365,taʻar,ayin-resh,ער,knife,taʻar,Hebrew,תער,
H8388,1503,tâʼar,tav-resh,תר,delineate,tâʼar,Hebrew,תאר,
H8388,1503,tâʼar,tav-resh,תר,draw,tâʼar,Hebrew,תאר,
H8388,1503,tâʼar,tav-resh,תר,mark,tâʼar,Hebrew,תאר,
H8390,1111,Taʼărêaʻ,NAME,תארע,Taarea,Taʼărêaʻ,Hebrew,תארע,
H8594,1365,taʻărubâh,ayin-resh,ער,suretyship,taʻărubâh,Hebrew,תערבה,
H8592,2569,taʻătsumâh,ayin-tsade-mem,עצמ,might,taʻătsumâh,Hebrew,תעצמה,
H8379,1005,taʼăwâh,aleph-hey,אה,limit,taʼăwâh,Hebrew,תאוה,
H8378,1005,taʼăwâh,aleph-hey,אה,longing,taʼăwâh,Hebrew,תאוה,
H2869,1186,ṭâb,tet-beyt,טב,fine,ṭâb,Zulu,טב, 
H2869,1186,ṭâb,tet-beyt,טב,good,ṭâb,Hebrew,טב,
H1697,2093,dâbâr,dalet-beyt-resh,דבר,matter,taba,Southern Sotho,דבר,
H1697,2093,dâbâr,dalet-beyt-resh,דבר,word,taba,Southern Sotho,דבר,
H2873,2227,ṭâbach,tet-beyt-hhet,טבח,slaughter,ṭâbach,Hebrew,טבח,
H2881,2228,ṭâbal,tet-beyt-lamed,טבל,dip,ṭâbal,Hebrew,טבל,
H2885,2229,ṭabbaʻath,tet-beyt-ayin,טבע,seal,ṭabbaʻath,Hebrew,טבעת,
H2876,2227,ṭabbâch,tet-beyt-hhet,טבח,butcher,ṭabbâch,Hebrew,טבח,
H2879,2227,ṭabbâchâh,tet-beyt-hhet,טבח,female cook,ṭabbâchâh,Hebrew,טבחה,
H2884,1111,Ṭabbâʻôwth,NAME,טבעות,Tabbaoth,Ṭabbâʻôwth,Hebrew,טבעות,
H2888,1111,Ṭabbath,NAME,טבת,Tabbath,Ṭabbath,Hebrew,טבת,
H2872,2230,ṭabbûwr,tet-beyt-resh,טבר,accumulated,ṭabbûwr,Hebrew,טבור,
H2872,2230,ṭabbûwr,tet-beyt-resh,טבר,middle,ṭabbûwr,Hebrew,טבור,
H2872,2230,ṭabbûwr,tet-beyt-resh,טבר,midst,ṭabbûwr,Hebrew,טבור,
H2870,1111,ṭâbᵉʼêl,NAME,טבאל,Tabeel,ṭâbᵉʼêl,Hebrew,טבאל,
H8404,1111,Tabʻêrâh,NAME,תבערה,Taberah,Tabʻêrâh,Hebrew,תבערה,
H2873,2227,ṭâbach,tet-beyt-hhet,טבח,slaughter,tabika,Kikongo,טבח, 
H8399,1035,tablîyth,beyt-lamed,בל,consumption,tablîyth,Hebrew,תבלית,
H8399,1035,tablîyth,beyt-lamed,בל,destruction,tablîyth,Hebrew,תבלית,
H8403,1037,tabnîyth,beyt-nun,בנ,figure,tabnîyth,Hebrew,תבנית,
H8403,1037,tabnîyth,beyt-nun,בנ,form,tabnîyth,Hebrew,תבנית,
H8403,1037,tabnîyth,beyt-nun,בנ,likeness,tabnîyth,Hebrew,תבנית,
H8403,1037,tabnîyth,beyt-nun,בנ,pattern,tabnîyth,Hebrew,תבנית,
H8403,1037,tabnîyth,beyt-nun,בנ,similitude,tabnîyth,Hebrew,תבנית,
H8403,1037,tabnîyth,beyt-nun,בנ,structure,tabnîyth,Hebrew,תבנית,
H8396,1111,Tâbôwr,NAME,תבור,Tabor,Tâbôwr,Hebrew,תבור,
H2886,1111,Ṭabrimmôwn,NAME,טברמון,Tabrimmon,Ṭabrimmôwn,Hebrew,טברמון,
H2871,2228,ṭâbûwl,tet-beyt-lamed,טבל,dyed,ṭâbûwl,Hebrew,טבול,
H2909,1192,ṭâchâh,tet-hhet,טח,shot,ṭâchâh,Hebrew,טחה,
H2909,1192,ṭâchâh,tet-hhet,טח,stretch,ṭâchâh,Hebrew,טחה,
H8463,1173,tachălûwʼ,hhet-lamed,חל,disease,tachălûwʼ,Hebrew,תחלוא,
H8463,1173,tachălûwʼ,hhet-lamed,חל,grievous,tachălûwʼ,Hebrew,תחלוא,
H8463,1173,tachălûwʼ,hhet-lamed,חל,malady,tachălûwʼ,Hebrew,תחלוא,
H8463,1173,tachălûwʼ,hhet-lamed,חל,sick,tachălûwʼ,Hebrew,תחלוא,
H8463,1173,tachălûwʼ,hhet-lamed,חל,sickness,tachălûwʼ,Hebrew,תחלוא,
H8465,1111,Tachan,NAME,תחן,Tachan,Tachan,Hebrew,תחן,
H2912,1192,ṭâchan,tet-hhet,טח,grind,ṭâchan,Hebrew,טחן,
H8466,1175,tachănâh,hhet-nun,חנ,encampment,tachănâh,Hebrew,תחנה,
H2913,1192,ṭachănâh,tet-hhet,טח,hand mill,ṭachănâh,Hebrew,טחנה,
H8470,1111,Tachănîy,NAME,תחני,Tachanite,Tachănîy,Hebrew,תחני,
H8469,1175,tachănûwn,hhet-nun,חנ,prayer,tachănûwn,Hebrew,תחנון,
H8473,1181,tachărâʼ,hhet-resh,חר,corslet,tachărâʼ,Hebrew,תחרא,
H8473,1181,tachărâʼ,hhet-resh,חר,habergeon,tachărâʼ,Hebrew,תחרא,
H8474,1181,tachârâh,hhet-resh,חר,closest,tachârâh,Hebrew,תחרה,
H8474,1181,tachârâh,hhet-resh,חר,contend,tachârâh,Hebrew,תחרה,
H8474,1181,tachârâh,hhet-resh,חר,vie with rival,tachârâh,Hebrew,תחרה,
H8477,1111,Tachash,NAME,תחש,Tachash,Tachash,Hebrew,תחש,
H8476,2891,tachash,tav-hhet-shin,תחש,animal with fur,tachash,Hebrew,תחש,
H8476,2891,tachash,tav-hhet-shin,תחש,badger,tachash,Hebrew,תחש,
H8480,1111,Tachath,NAME,תחת,Tachath,Tachath,Hebrew,תחת,
H8478,2892,tachath,tav-hhet-tav,תחת,because,tachath,Hebrew,תחת,
H8478,2892,tachath,tav-hhet-tav,תחת,bottom,tachath,Hebrew,תחת,
H8478,2892,tachath,tav-hhet-tav,תחת,flat,tachath,Hebrew,תחת,
H8478,2892,tachath,tav-hhet-tav,תחת,place,tachath,Hebrew,תחת,
H8478,2892,tachath,tav-hhet-tav,תחת,under,tachath,Hebrew,תחת,
H8461,1111,Tachkᵉmônîy,NAME,תחכמני,Tachkemoni,Tachkᵉmônîy,Hebrew,תחכמני,
H8464,2172,tachmâç,hhet-mem-samehh,חמס,hawk,tachmâç,Hebrew,תחמס,
H8464,2172,tachmâç,hhet-mem-samehh,חמס,species of unclean bird,tachmâç,Hebrew,תחמס,
H8471,1111,Tachpanchêç,NAME,תחפנחס,Tachpanches,Tachpanchêç,Hebrew,תחפנחס,
H8472,1111,Tachpᵉnêyç,NAME,תחפניס,Tachpenes,Tachpᵉnêyç,Hebrew,תחפניס,
H8475,1111,Tachrêaʻ,NAME,תחרע,Tachrea,Tachrêaʻ,Hebrew,תחרע,
H8482,2892,tachtîy,tav-hhet-tav,תחת,lowermost,tachtîy,Hebrew,תחתי,
H8482,2892,tachtîy,tav-hhet-tav,תחת,lowest,tachtîy,Hebrew,תחתי,
H8483,1111,Tachtîym Chodshîy,NAME,תחתים חדשי,Tachtim-Chodshi,Tachtîym Chodshîy,Hebrew,תחתים חדשי,
H8481,2892,tachtôwn,tav-hhet-tav,תחת,bottommost,tachtôwn,Hebrew,תחתון,
H8481,2892,tachtôwn,tav-hhet-tav,תחת,lowest,tachtôwn,Hebrew,תחתון,
H8412,1111,Tadmôr,NAME,תדמר,Tadmor,Tadmôr,Hebrew,תדמר,
H8452,1503,tôwrâh,tav-resh,תר,manner,taelo,Southern Sotho,תורה, 
H6287,1389,pᵉʼêr,pey-shin,פש,we reqjoice,tafara,Shona,פאר, 
H8582,1499,tâʻâh,tav-ayin,תע,cause someone to err,taga,Southern Sotho,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,deceive,taga,Southern Sotho,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,drunk,taga,Southern Sotho,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,error,taga,Southern Sotho,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,seduce,taga,Southern Sotho,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,stagger,taga,Southern Sotho,תעה, 
H4085,1080,mᵉdôkâh,dalet-kaph,דכ,plaster,taga,Southern Sotho,מדכה, 
H2915,1192,ṭîyach,tet-hhet,טח,mortar,taga,Southern Sotho,טיח, 
H2902,1192,ṭûwach,tet-hhet,טח,plaster,taga,Southern Sotho,טוח, 
H2891,1204,ṭâhêr,tet-resh,טר,clean ,taga,Southern Sotho,טהר, 
H8408,2070,tagmûwl,gimel-mem-lamed,גמל,benefit,tagmûwl,Hebrew,תגמול,
H8408,2070,tagmûwl,gimel-mem-lamed,גמל,bestowment,tagmûwl,Hebrew,תגמול,
H8408,2070,tagmûwl,gimel-mem-lamed,גמל,yield,tagmûwl,Hebrew,תגמול,
H8418,1264,tahălukâh,lamed-kaph,לכ,go,tahălukâh,Hebrew,תהלכה,
H8418,1264,tahălukâh,lamed-kaph,לכ,procession,tahălukâh,Hebrew,תהלכה,
H2889,1204,ṭâhôwr,tet-resh,טר,pure,ṭâhôwr,Hebrew,טהור,
H8419,1379,tahpukâh,pey-kaph,פכ,perversity,tahpukâh,Hebrew,תהפכה,
H1676,1074,dâʼâh,dalet-hey,דה,eagle,tai,Swahili,דאה,
H8497,1494,tâkâh,tav-kaph,תכ,strew,tâkâh,Hebrew,תכה,
H8501,1494,tâkâk,tav-kaph,תכ,dissever,tâkâk,Hebrew,תכך,
H8502,1242,tiklâh,kaph-lamed,כל,happy,takala,Venda,תכלה, 
H8502,1242,tiklâh,kaph-lamed,כל,satisfied,takala,Venda,תכלה, 
H8505,2893,tâkan,tav-kaph-nun,תכנ,balance,tâkan,Hebrew,תכן,
H8503,1242,taklîyth,kaph-lamed,כל,completion,taklîyth,Hebrew,תכלית,
H8509,2287,takrîyk,kaph-resh-kaph,כרכ,wrapper,takrîyk,Hebrew,תכריך,
H2920,1196,ṭal,tet-lamed,טל,dew,ṭal,Hebrew,טל,
H2919,1196,ṭal,tet-lamed,טל,dew,ṭal,Hebrew,טל,
H2919,1196,ṭal,tet-lamed,טל,night mist,ṭal,Hebrew,טל,
H8529,1495,tâlaʻ,tav-lamed,תל,crimson,tâlaʻ,Hebrew,תלע,
H8511,1196,tâlâʼ,tet-lamed,טל,bent,tâlâʼ,Hebrew,תלא,
H8511,1196,tâlâʼ,tet-lamed,טל,determined,tâlâʼ,Hebrew,תלא,
H8511,1196,tâlâʼ,tet-lamed,טל,hang,tâlâʼ,Hebrew,תלא,
H8511,1196,tâlâʼ,tet-lamed,טל,hang in doubt,tâlâʼ,Hebrew,תלא,
H8511,1196,tâlâʼ,tet-lamed,טל,suspend,tâlâʼ,Hebrew,תלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,clouted,ṭâlâʼ,Hebrew,טלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,cover,ṭâlâʼ,Hebrew,טלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,divers colours,ṭâlâʼ,Hebrew,טלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,patched,ṭâlâʼ,Hebrew,טלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,spotted,ṭâlâʼ,Hebrew,טלא,
H2921,1196,ṭâlâʼ,tet-lamed,טל,variegated,ṭâlâʼ,Hebrew,טלא,
H8518,1196,tâlâh,tet-lamed,טל,suspend,tâlâh,Hebrew,תלה,
H2489,2163,chêlᵉkâʼ,hhet-lamed-kaph,חלכ,poor,talaka,Yoruba,חלכא, 
H1803,1081,dallâh,dalet-lamed,דל,poor,talaka,Yoruba,דלה,
H8524,1196,tâlal,tet-lamed,טל,eminent,tâlal,Hebrew,תלל,
H8524,1196,tâlal,tet-lamed,טל,lofty,tâlal,Hebrew,תלל,
H8524,1196,tâlal,tet-lamed,טל,pile up,tâlal,Hebrew,תלל,
H8524,1196,tâlal,tet-lamed,טל,towering,tâlal,Hebrew,תלל,
H2927,1196,ṭᵉlal,tet-lamed,טל,find shelter,ṭâlal,Hebrew,טלל,
H2927,1196,ṭᵉlal,tet-lamed,טל,shadow,ṭâlal,Hebrew,טלל,
H2926,1196,ṭâlal,tet-lamed,טל,strew over,ṭâlal,Hebrew,טלל,
H8516,2304,talbôsheth,lamed-beyt-shin,לבש,clothing,talbôsheth,Hebrew,תלבשת,
H8516,2304,talbôsheth,lamed-beyt-shin,לבש,garment,talbôsheth,Hebrew,תלבשת,
H2924,1196,ṭâleh,tet-lamed,טל,lamb,ṭâleh,Hebrew,טלה,
H8526,1111,Talmay,NAME,תלמי,Talmai,Talmay,Hebrew,תלמי,
H8527,2311,talmîyd,lamed-mem-dalet,למד,pupil,talmîyd,Hebrew,תלמיד,
H8527,2311,talmîyd,lamed-mem-dalet,למד,scholar,talmîyd,Hebrew,תלמיד,
H8527,2311,talmîyd,lamed-mem-dalet,למד,student,talmîyd,Hebrew,תלמיד,
H2929,1111,Ṭalmôwn,NAME,טלמון,Talmon,Ṭalmôwn,Hebrew,טלמון,
H8530,2894,talpîyâh,tav-lamed-pey,תלפ,tall,talpîyâh,Hebrew,תלפיה,
H8534,1150,taltal,zayin-lamed,זל,trailing bough,taltal,Hebrew,תלתל,
H2925,1196,ṭalṭêlâh,tet-lamed,טל,overthrow,ṭalṭêlâh,Hebrew,טלטלה,
H8536,1473,tâm,shin-mem,שמ,there,tâm,Hebrew,תם, 
H8535,1496,tâm,tav-mem,תמ,complete,tâm,Hebrew,תם,
H8539,1496,tâmahh,tav-mem,תמ,wonder,tama,Pedi,תמה, 
H2530,2169,châmad,hhet-mem-dalet,חמד,admire,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,crave,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,desire,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,eager,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,envy,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,prefer,tama,Venda,חמד, 
H2530,2169,châmad,hhet-mem-dalet,חמד,wish,tama,Venda,חמד, 
H2933,1197,ṭâmâh,tet-mem,טמ,be impure,ṭâmâh,Hebrew,טמה,
H8551,2895,tâmak,tav-mem-kaph,תמכ,sustain,tâmak,Hebrew,תמך,
H8552,1496,tâmam,tav-mem,תמ,complete,tâmam,Hebrew,תמם,
H2934,2234,ṭâman,tet-mem-nun,טמנ,hide,ṭâman,Hebrew,טמן,
H8559,1111,Tâmâr,NAME,תמר,Tamar,Tâmâr,Hebrew,תמר,
H8558,2896,tâmâr,tav-mem-resh,תמר,palm,tâmâr,Hebrew,תמר,
H2931,1197,ṭâmêʼ,tet-mem,טמ,foul,ṭâmêʼ,Hebrew,טמא,
H2930,1197,ṭâmêʼ,tet-mem,טמ,be foul,ṭâmêʼ,Hebrew,טמא,
H8548,1280,tâmîyd,mem-dalet,מד,always,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,continual,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,continuance,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,daily,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,ever,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,never,tâmîyd,Hebrew,תמיד,
H8548,1280,tâmîyd,mem-dalet,מד,perpetual,tâmîyd,Hebrew,תמיד,
H8542,1111,Tammûwz,NAME,תמוז,Tammuz,Tammûwz,Hebrew,תמוז,
H8562,2356,tamrûwq,mem-resh-quph,מרק,scouring,tamrûwq,Hebrew,תמרוק,
H8564,1296,tamrûwr,mem-resh,מר,erection,tamrûwr,Hebrew,תמרור,
H8563,1296,tamrûwr,mem-resh,מר,bitterness,tamrûwr,Hebrew,תמרור,
H8582,1499,tâʻâh,tav-ayin,תע,deceive,tan,Yoruba,תעה, 
H8565,1497,tan,tav-nun,תנ,monster,tan,Hebrew,תן,
H8567,1497,tânâh,tav-nun,תנ,ascribe,tânâh,Hebrew,תנה,
H8566,1497,tânâh,tav-nun,תנ,present,tânâh,Hebrew,תנה,
H2936,2235,ṭânaph,tet-nun-pey,טנפ,soil,ṭânaph,Hebrew,טנף,
H8576,1111,Tanchumeth,NAME,תנחמת,Tanchumeth,Tanchumeth,Hebrew,תנחמת,
H8582,1499,tâʻâh,tav-ayin,תע,astray,tanga,Swahili,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,away,tanga,Swahili,תעה, 
H8582,1499,tâʻâh,tav-ayin,תע,wander,tanga,Swahili,תעה, 
H8568,1497,tannâh,tav-nun,תנ,jackal,tannâh,Hebrew,תנה,
H8577,1497,tannîyn,tav-nun,תנ,monster,tannîyn,Hebrew,תנין,
H8580,2443,tanshemeth,nun-shin-mem,נשמ,hard breather,tanshemeth,Hebrew,תנשמת,
H2917,1193,ṭîyn,tet-tet,טט,clay,tanya,Southern Sotho,טין, 
H8380,1496,tâʼôwm,tav-mem,תמ,twin,tâʼôwm,Hebrew,תאום,
H2946,2238,ṭâphach,tet-pey-hhet,טפח,flatten,ṭâphach,Hebrew,טפח,
H2950,2239,ṭâphal,tet-pey-lamed,טפל,stick on as patch,ṭâphal,Hebrew,טפל,
H8608,1500,tâphaph,tav-pey,תפ,drum,tâphaph,Hebrew,תפף,
H8609,2900,tâphar,tav-pey-resh,תפר,sew,tâphar,Hebrew,תפר,
H8610,2899,tâphas,tav-pey-samehh,תפס,manipulate,tâphas,Hebrew,תפש,
H2954,2241,ṭâphash,tet-pey-shin,טפש,be thick,ṭâphash,Hebrew,טפש,
H2955,1111,Ṭâphath,NAME,טפת,Taphath,Ṭâphath,Hebrew,טפת,
H5595,1339,çâphâh,samehh-pey,ספ,we have been given,tapiwa,Shona,ספה, 
H8602,2898,tâphêl,tav-pey-lamed,תפל,potato,tapole,Southern Sotho,תפל, 
H8602,2898,tâphêl,tav-pey-lamed,תפל,unseasoned,tapole,Southern Sotho,תפל, 
H8599,1111,Tappûwach,NAME,תפוח,Tappuach,Tappûwach,Hebrew,תפוח,
H8598,1376,tappûwach,pey-hhet,פח,apple,tappûwach,Hebrew,תפוח,
H8628,2902,tâqaʻ,tav-quph-ayin,תקע,clatter,tâqaʻ,Hebrew,תקע,
H8626,2901,tâqan,tav-quph-nun,תקנ,equalize,tâqan,Hebrew,תקן,
H8630,2903,tâqaph,tav-quph-pey,תקפ,overpower,tâqaph,Hebrew,תקף,
H8619,2902,tâqôwaʻ,tav-quph-ayin,תקע,trumpet,tâqôwaʻ,Hebrew,תקוע,
H8624,2903,taqqîyph,tav-quph-pey,תקפ,mighty,taqqîyph,Hebrew,תקיף,
H8624,2903,taqqîyph,tav-quph-pey,תקפ,powerful,taqqîyph,Hebrew,תקיף,
H8624,2903,taqqîyph,tav-quph-pey,תקפ,strong,taqqîyph,Hebrew,תקיף,
H8623,2903,taqqîyph,tav-quph-pey,תקפ,powerful,taqqîyph,Hebrew,תקיף,
H8652,2862,târâʻ,shin-ayin-resh,שער,doorkeeper,târâʻ,Hebrew,תרע,
H2959,2243,ṭârach,tet-resh-ayin,טרע,overburden,ṭârach,Hebrew,טרח,
H2956,2242,ṭârad,tet-resh-dalet,טרד,drive on,ṭârad,Hebrew,טרד,
H8634,1111,Tarʼălâh,NAME,תראלה,Taralah,Tarʼălâh,Hebrew,תראלה,
H2963,2245,ṭâraph,tet-resh-pey,טרפ,pluck off,ṭâraph,Hebrew,טרף,
H2965,2245,ṭârâph,tet-resh-pey,טרפ,recently torn off,ṭârâph,Hebrew,טרף,
H8636,1439,tarbîyth,resh-beyt,רב,multiplication,tarbîyth,Hebrew,תרבית,
H8635,1439,tarbûwth,resh-beyt,רב,multiplication,tarbûwth,Hebrew,תרבות,
H8639,2754,tardêmâh,resh-dalet-mem,רדמ,lethargy,tardêmâh,Hebrew,תרדמה,
H8653,2779,tarʻêlâh,resh-ayin-lamed,רעל,reeling,tarʻêlâh,Hebrew,תרעלה,
H2961,1204,ṭârîy,tet-resh,טר,dripping,ṭârîy,Hebrew,טרי,
H2961,1204,ṭârîy,tet-resh,טר,new,ṭârîy,Hebrew,טרי,
H2961,1204,ṭârîy,tet-resh,טר,putrify,ṭârîy,Hebrew,טרי,
H2967,1111,Ṭarpᵉlay,NAME,טרפלי,Tarpelite,Ṭarpᵉlay,Hebrew,טרפלי,
H8659,1111,Tarshîysh,NAME,תרשיש,Tarshish,Tarshîysh,Hebrew,תרשיש,
H8658,1458,tarshîysh,resh-shin,רש,topaz,tarshîysh,Hebrew,תרשיש,
H8661,1111,Tartân,NAME,תרתן,Tartan,Tartân,Hebrew,תרתן,
H8662,1111,Tartâq,NAME,תרתק,Tartak,Tartâq,Hebrew,תרתק,
